 
Air 	air 	Minecraft Air
Cyan Shulker Box 	cyan_shulker_box 	Minecraft Cyan Shulker Box
Purple Shulker Box 	purple_shulker_box 	Minecraft Purple Shulker Box
Blue Shulker Box 	blue_shulker_box 	Minecraft Blue Shulker Box
Brown Shulker Box 	brown_shulker_box 	Minecraft Brown Shulker Box
Green Shulker Box 	green_shulker_box 	Minecraft Green Shulker Box
Red Shulker Box 	red_shulker_box 	Minecraft Red Shulker Box
Black Shulker Box 	black_shulker_box 	Minecraft Black Shulker Box
Standing Banner 	white_banner 	Minecraft Standing Banner
White Banner 	white_banner 	Minecraft White Banner
Orange Banner 	orange_banner 	Minecraft Orange Banner
Magenta Banner 	magenta_banner 	Minecraft Magenta Banner
Light Blue Banner 	light_blue_banner 	Minecraft Light Blue Banner
Yellow Banner 	yellow_banner 	Minecraft Yellow Banner
Lime Banner 	lime_banner 	Minecraft Lime Banner
Pink Banner 	pink_banner 	Minecraft Pink Banner
Gray Banner 	gray_banner 	Minecraft Gray Banner
Light Gray Banner 	light_gray_banner 	Minecraft Light Gray Banner
Cyan Banner 	cyan_banner 	Minecraft Cyan Banner
Purple Banner 	purple_banner 	Minecraft Purple Banner
Blue Banner 	blue_banner 	Minecraft Blue Banner
Brown Banner 	brown_banner 	Minecraft Brown Banner
Green Banner 	green_banner 	Minecraft Green Banner
Red Banner 	red_banner 	Minecraft Red Banner
Black Banner 	black_banner 	Minecraft Black Banner
Wall Banner 	white_wall_banner 	Minecraft Wall Banner
White Wall Banner 	white_wall_banner 	Minecraft White Wall Banner
Orange Wall Banner 	orange_wall_banner 	Minecraft Orange Wall Banner
Magenta Wall Banner 	magenta_wall_banner 	Minecraft Magenta Wall Banner
Light Blue Wall Banner 	light_blue_wall_banner 	Minecraft Light Blue Wall Banner
Yellow Wall Banner 	yellow_wall_banner 	Minecraft Yellow Wall Banner
Lime Wall Banner 	lime_wall_banner 	Minecraft Lime Wall Banner
Pink Wall Banner 	pink_wall_banner 	Minecraft Pink Wall Banner
Gray Wall Banner 	gray_wall_banner 	Minecraft Gray Wall Banner
Light Gray Wall Banner 	light_gray_wall_banner 	Minecraft Light Gray Wall Banner
Cyan Wall Banner 	cyan_wall_banner 	Minecraft Cyan Wall Banner
Purple Wall Banner 	purple_wall_banner 	Minecraft Purple Wall Banner
Blue Wall Banner 	blue_wall_banner 	Minecraft Blue Wall Banner
Brown Wall Banner 	brown_wall_banner 	Minecraft Brown Wall Banner
Green Wall Banner 	green_wall_banner 	Minecraft Green Wall Banner
Red Wall Banner 	red_wall_banner 	Minecraft Red Wall Banner
Black Wall Banner 	black_wall_banner 	Minecraft Black Wall Banner
Barrier 	barrier 	Minecraft Barrier
Structure Void 	structure_void 	Minecraft Structure Void
Structure Block 	structure_block 	Minecraft Structure Block
Structure Block (Data) 	structure_block 	Minecraft Structure Block (Data)
Structure Block (Save) 	structure_block 	Minecraft Structure Block (Save)
Structure Block (Load) 	structure_block 	Minecraft Structure Block (Load)
Structure Block (Corner) 	structure_block 	Minecraft Structure Block (Corner)
Jigsaw 	jigsaw 	Minecraft Jigsaw
Kelp 	kelp 	Minecraft Kelp
Kelp Plant 	kelp_plant 	Minecraft Kelp Plant
Seagrass 	seagrass 	Minecraft Seagrass
Tall Seagrass 	tall_seagrass 	Minecraft Tall Seagrass
Sea Pickle 	sea_pickle 	Minecraft Sea Pickle
Turtle Egg 	turtle_egg 	Minecraft Turtle Egg
Bamboo Sapling 	bamboo_sapling 	Minecraft Bamboo Sapling
Bamboo 	bamboo 	Minecraft Bamboo
Dead Tube Coral Block 	dead_tube_coral_block 	Minecraft Dead Tube Coral Block
Dead Brain Coral Block 	dead_brain_coral_block 	Minecraft Dead Brain Coral Block
Dead Bubble Coral Block 	dead_bubble_coral_block 	Minecraft Dead Bubble Coral Block
Dead Fire Coral Block 	dead_fire_coral_block 	Minecraft Dead Fire Coral Block
Dead Horn Coral Block 	dead_horn_coral_block 	Minecraft Dead Horn Coral Block
Tube Coral Block 	tube_coral_block 	Minecraft Tube Coral Block
Brain Coral Block 	brain_coral_block 	Minecraft Brain Coral Block
Bubble Coral Block 	bubble_coral_block 	Minecraft Bubble Coral Block
Fire Coral Block 	fire_coral_block 	Minecraft Fire Coral Block
Horn Coral Block 	horn_coral_block 	Minecraft Horn Coral Block
Dead Tube Coral 	dead_tube_coral 	Minecraft Dead Tube Coral
Dead Brain Coral 	dead_brain_coral 	Minecraft Dead Brain Coral
Dead Bubble Coral 	dead_bubble_coral 	Minecraft Dead Bubble Coral
Dead Fire Coral 	dead_fire_coral 	Minecraft Dead Fire Coral
Dead Horn Coral 	dead_horn_coral 	Minecraft Dead Horn Coral
Tube Coral 	tube_coral 	Minecraft Tube Coral
Brain Coral 	brain_coral 	Minecraft Brain Coral
Bubble Coral 	bubble_coral 	Minecraft Bubble Coral
Fire Coral 	fire_coral 	Minecraft Fire Coral
Horn Coral 	horn_coral 	Minecraft Horn Coral
Dead Tube Coral Fan 	dead_tube_coral_fan 	Minecraft Dead Tube Coral Fan
Dead Brain Coral Fan 	dead_brain_coral_fan 	Minecraft Dead Brain Coral Fan
Dead Bubble Coral Fan 	dead_bubble_coral_fan 	Minecraft Dead Bubble Coral Fan
Dead Fire Coral Fan 	dead_fire_coral_fan 	Minecraft Dead Fire Coral Fan
Dead Horn Coral Fan 	dead_horn_coral_fan 	Minecraft Dead Horn Coral Fan
Tube Coral Fan 	tube_coral_fan 	Minecraft Tube Coral Fan
Brain Coral Fan 	brain_coral_fan 	Minecraft Brain Coral Fan
Bubble Coral Fan 	bubble_coral_fan 	Minecraft Bubble Coral Fan
Fire Coral Fan 	fire_coral_fan 	Minecraft Fire Coral Fan
Horn Coral Fan 	horn_coral_fan 	Minecraft Horn Coral Fan
Dead Tube Coral Wall Fan 	dead_tube_coral_wall_fan 	Minecraft Dead Tube Coral Wall Fan
Dead Brain Coral Wall Fan 	dead_brain_coral_wall_fan 	Minecraft Dead Brain Coral Wall Fan
Dead Bubble Coral Wall Fan 	dead_bubble_coral_wall_fan 	Minecraft Dead Bubble Coral Wall Fan
Dead Fire Coral Wall Fan 	dead_fire_coral_wall_fan 	Minecraft Dead Fire Coral Wall Fan
Dead Horn Coral Wall Fan 	dead_horn_coral_wall_fan 	Minecraft Dead Horn Coral Wall Fan
Tube Coral Wall Fan 	tube_coral_wall_fan 	Minecraft Tube Coral Wall Fan
Brain Coral Wall Fan 	brain_coral_wall_fan 	Minecraft Brain Coral Wall Fan
Bubble Coral Wall Fan 	bubble_coral_wall_fan 	Minecraft Bubble Coral Wall Fan
Fire Coral Wall Fan 	fire_coral_wall_fan 	Minecraft Fire Coral Wall Fan
Horn Coral Wall Fan 	horn_coral_wall_fan 	Minecraft Horn Coral Wall Fan
Dried Kelp Block 	dried_kelp_block 	Minecraft Dried Kelp Block
Conduit 	conduit 	Minecraft Conduit
Scaffolding 	scaffolding 	Minecraft Scaffolding
Bell 	bell 	Minecraft Bell
Loom 	loom 	Minecraft Loom
Barrel 	barrel 	Minecraft Barrel
Smoker 	smoker 	Minecraft Smoker
Blast Furnace 	blast_furnace 	Minecraft Blast Furnace
Cartography Table 	cartography_table 	Minecraft Cartography Table
Fletching Table 	fletching_table 	Minecraft Fletching Table
Grindstone 	grindstone 	Minecraft Grindstone
Lectern 	lectern 	Minecraft Lectern
Smithing Table 	smithing_table 	Minecraft Smithing Table
Stonecutter 	stonecutter 	Minecraft Stonecutter
Composter 	composter 	Minecraft Composter
Beehive 	beehive 	Minecraft Beehive
Bee nest 	bee_nest 	Minecraft Bee nest
Honey block 	honey_block 	Minecraft Honey block
Honeycomb Block 	honeycomb_block 	Minecraft Honeycomb Block
Basalt 	basalt 	Minecraft Basalt
Polished Basalt 	polished_basalt 	Minecraft Polished Basalt
Smooth Basalt 	smooth_basalt 	Minecraft Smooth Basalt
Warped Roots 	warped_roots 	Minecraft Warped Roots
Nether Sprouts 	nether_sprouts 	Minecraft Nether Sprouts
Weeping Vines 	weeping_vines 	Minecraft Weeping Vines
Weeping Vines Plant 	weeping_vines_plant 	Minecraft Weeping Vines Plant
Twisting Vines 	twisting_vines 	Minecraft Twisting Vines
Twisting Vines Plant 	twisting_vines_plant 	Minecraft Twisting Vines Plant
Crimson Roots 	crimson_roots 	Minecraft Crimson Roots
Respawn Anchor 	respawn_anchor 	Minecraft Respawn Anchor
Lodestone 	lodestone 	Minecraft Lodestone
Cave Vines 	cave_vines 	Minecraft Cave Vines
Cave Vines Plant 	cave_vines_plant 	Minecraft Cave Vines Plant
Spore Blossom 	spore_blossom 	Minecraft Spore Blossom
Azalea 	azalea 	Minecraft Azalea
Flowering Azalea 	flowering_azalea 	Minecraft Flowering Azalea
Big Dripleaf 	big_dripleaf 	Minecraft Big Dripleaf
Big Dripleaf Stem 	big_dripleaf_stem 	Minecraft Big Dripleaf Stem
Small Dripleaf 	small_dripleaf 	Minecraft Small Dripleaf
Hanging Roots 	hanging_roots 	Minecraft Hanging Roots
Ochre Froglight 	ochre_froglight 	Minecraft Ochre Froglight
Verdant Froglight 	verdant_froglight 	Minecraft Verdant Froglight
Pearlscent Froglight 	pearlescent_froglight 	Minecraft Pearlscent Froglight
Frogspawn 	frogspawn 	Minecraft Frogspawn
Any Dye 	#forge:dyes 	Minecraft Any Dye
Ink Sac 	ink_sac 	Minecraft Ink Sac
Glow Ink Sac 	glow_ink_sac 	Minecraft Glow Ink Sac
Rose Red 	red_dye 	Minecraft Rose Red
Cactus Green 	green_dye 	Minecraft Cactus Green
Cocoa Beans 	cocoa_beans 	Minecraft Cocoa Beans
Lapis Lazuli 	lapis_lazuli 	Minecraft Lapis Lazuli
Purple Dye 	purple_dye 	Minecraft Purple Dye
Cyan Dye 	cyan_dye 	Minecraft Cyan Dye
Light Gray Dye 	light_gray_dye 	Minecraft Light Gray Dye
Gray Dye 	gray_dye 	Minecraft Gray Dye
Pink Dye 	pink_dye 	Minecraft Pink Dye
Lime Dye 	lime_dye 	Minecraft Lime Dye
Dandelion Yellow 	yellow_dye 	Minecraft Dandelion Yellow
Light Blue Dye 	light_blue_dye 	Minecraft Light Blue Dye
Magenta Dye 	magenta_dye 	Minecraft Magenta Dye
Orange Dye 	orange_dye 	Minecraft Orange Dye
Bone Meal 	bone_meal 	Minecraft Bone Meal
Black Dye 	black_dye 	Minecraft Black Dye
Brown Dye 	brown_dye 	Minecraft Brown Dye
Blue Dye 	blue_dye 	Minecraft Blue Dye
White Dye 	white_dye 	Minecraft White Dye
Any Coal 	#minecraft:coals 	Minecraft Any Coal
Coal 	coal 	Minecraft Coal
Charcoal 	charcoal 	Minecraft Charcoal
Raw Iron 	raw_iron 	Minecraft Raw Iron
Iron Ingot 	iron_ingot 	Minecraft Iron Ingot
Iron Nugget 	iron_nugget 	Minecraft Iron Nugget
Raw Copper 	raw_copper 	Minecraft Raw Copper
Copper Ingot 	copper_ingot 	Minecraft Copper Ingot
Redstone 	redstone 	Minecraft Redstone
Raw Gold 	raw_gold 	Minecraft Raw Gold
Gold Ingot 	gold_ingot 	Minecraft Gold Ingot
Gold Nugget 	gold_nugget 	Minecraft Gold Nugget
Diamond 	diamond 	Minecraft Diamond
Netherite Ingot 	netherite_ingot 	Minecraft Netherite Ingot
Netherite Scrap 	netherite_scrap 	Minecraft Netherite Scrap
Emerald 	emerald 	Minecraft Emerald
Nether Quartz 	quartz 	Minecraft Nether Quartz
Nether Star 	nether_star 	Minecraft Nether Star
Prismarine Shard 	prismarine_shard 	Minecraft Prismarine Shard
Prismarine Crystals 	prismarine_crystals 	Minecraft Prismarine Crystals
Heart Of The Sea 	heart_of_the_sea 	Minecraft Heart Of The Sea
Nautilus Shell 	nautilus_shell 	Minecraft Nautilus Shell
Scute 	scute 	Minecraft Scute
Phantom Membrane 	phantom_membrane 	Minecraft Phantom Membrane
Amethyst Shard 	amethyst_shard 	Minecraft Amethyst Shard
Bow 	bow 	Minecraft Bow
Crossbow 	crossbow 	Minecraft Crossbow
Arrow 	arrow 	Minecraft Arrow
Spectral Arrow 	spectral_arrow 	Minecraft Spectral Arrow
Tipped Arrow 	tipped_arrow 	Minecraft Tipped Arrow
Fishing Rod 	fishing_rod 	Minecraft Fishing Rod
Carrot on a Stick 	carrot_on_a_stick 	Minecraft Carrot on a Stick
Warped Fungus on a Stick 	warped_fungus_on_a_stick 	Minecraft Warped Fungus on a Stick
Compass 	compass 	Minecraft Compass
Recovery Compass 	recovery_compass 	Minecraft Recovery Compass
Clock 	clock 	Minecraft Clock
Spyglass 	spyglass 	Minecraft Spyglass
Bundle 	bundle 	Minecraft Bundle
Empty Map 	map 	Minecraft Empty Map
Map 	filled_map 	Minecraft Map
Banner Pattern 	flower_banner_pattern 	Minecraft Banner Pattern
Banner Pattern 	creeper_banner_pattern 	Minecraft Banner Pattern
Banner Pattern 	skull_banner_pattern 	Minecraft Banner Pattern
Banner Pattern 	mojang_banner_pattern 	Minecraft Banner Pattern
Banner Pattern 	globe_banner_pattern 	Minecraft Banner Pattern
Banner Pattern 	piglin_banner_pattern 	Minecraft Banner Pattern
Totem of Undying 	totem_of_undying 	Minecraft Totem of Undying
Leash 	lead 	Minecraft Leash
Name Tag 	name_tag 	Minecraft Name Tag
Shield 	shield 	Minecraft Shield
Wooden Sword 	wooden_sword 	Minecraft Wooden Sword
Wooden Shovel 	wooden_shovel 	Minecraft Wooden Shovel
Wooden Pickaxe 	wooden_pickaxe 	Minecraft Wooden Pickaxe
Wooden Axe 	wooden_axe 	Minecraft Wooden Axe
Wooden Hoe 	wooden_hoe 	Minecraft Wooden Hoe
Stone Sword 	stone_sword 	Minecraft Stone Sword
Stone Shovel 	stone_shovel 	Minecraft Stone Shovel
Stone Pickaxe 	stone_pickaxe 	Minecraft Stone Pickaxe
Stone Axe 	stone_axe 	Minecraft Stone Axe
Stone Hoe 	stone_hoe 	Minecraft Stone Hoe
Iron Sword 	iron_sword 	Minecraft Iron Sword
Iron Shovel 	iron_shovel 	Minecraft Iron Shovel
Iron Pickaxe 	iron_pickaxe 	Minecraft Iron Pickaxe
Iron Axe 	iron_axe 	Minecraft Iron Axe
Iron Hoe 	iron_hoe 	Minecraft Iron Hoe
Flint and Steel 	flint_and_steel 	Minecraft Flint and Steel
Shears 	shears 	Minecraft Shears
Golden Sword 	golden_sword 	Minecraft Golden Sword
Golden Shovel 	golden_shovel 	Minecraft Golden Shovel
Golden Pickaxe 	golden_pickaxe 	Minecraft Golden Pickaxe
Golden Axe 	golden_axe 	Minecraft Golden Axe
Golden Hoe 	golden_hoe 	Minecraft Golden Hoe
Diamond Sword 	diamond_sword 	Minecraft Diamond Sword
Diamond Shovel 	diamond_shovel 	Minecraft Diamond Shovel
Diamond Pickaxe 	diamond_pickaxe 	Minecraft Diamond Pickaxe
Diamond Axe 	diamond_axe 	Minecraft Diamond Axe
Diamond Hoe 	diamond_hoe 	Minecraft Diamond Hoe
Netherite Sword 	netherite_sword 	Minecraft Netherite Sword
Netherite Shovel 	netherite_shovel 	Minecraft Netherite Shovel
Netherite Pickaxe 	netherite_pickaxe 	Minecraft Netherite Pickaxe
Netherite Axe 	netherite_axe 	Minecraft Netherite Axe
Netherite Hoe 	netherite_hoe 	Minecraft Netherite Hoe
Trident 	trident 	Minecraft Trident
Leather Helmet 	leather_helmet 	Minecraft Leather Helmet
Leather Chestplate 	leather_chestplate 	Minecraft Leather Chestplate
Leather Leggings 	leather_leggings 	Minecraft Leather Leggings
Leather Boots 	leather_boots 	Minecraft Leather Boots
Chainmail Helmet 	chainmail_helmet 	Minecraft Chainmail Helmet
Chainmail Chestplate 	chainmail_chestplate 	Minecraft Chainmail Chestplate
Chainmail Leggings 	chainmail_leggings 	Minecraft Chainmail Leggings
Chainmail Boots 	chainmail_boots 	Minecraft Chainmail Boots
Turtle Shell 	turtle_helmet 	Minecraft Turtle Shell
Iron Helmet 	iron_helmet 	Minecraft Iron Helmet
Iron Chestplate 	iron_chestplate 	Minecraft Iron Chestplate
Iron Leggings 	iron_leggings 	Minecraft Iron Leggings
Iron Boots 	iron_boots 	Minecraft Iron Boots
Golden Helmet 	golden_helmet 	Minecraft Golden Helmet
Golden Chestplate 	golden_chestplate 	Minecraft Golden Chestplate
Golden Leggings 	golden_leggings 	Minecraft Golden Leggings
Golden Boots 	golden_boots 	Minecraft Golden Boots
Diamond Helmet 	diamond_helmet 	Minecraft Diamond Helmet
Diamond Chestplate 	diamond_chestplate 	Minecraft Diamond Chestplate
Diamond Leggings 	diamond_leggings 	Minecraft Diamond Leggings
Diamond Boots 	diamond_boots 	Minecraft Diamond Boots
Netherite Helmet 	netherite_helmet 	Minecraft Netherite Helmet
Netherite Chestplate 	netherite_chestplate 	Minecraft Netherite Chestplate
Netherite Leggings 	netherite_leggings 	Minecraft Netherite Leggings
Netherite Boots 	netherite_boots 	Minecraft Netherite Boots
Elytra 	elytra 	Minecraft Elytra
Leather Horse Armor 	leather_horse_armor 	Minecraft Leather Horse Armor
Iron Horse Armor 	iron_horse_armor 	Minecraft Iron Horse Armor
Golden Horse Armor 	golden_horse_armor 	Minecraft Golden Horse Armor
Diamond Horse Armor 	diamond_horse_armor 	Minecraft Diamond Horse Armor
Armor Stand 	armor_stand 	Minecraft Armor Stand
Flower Pot 	flower_pot 	Minecraft Flower Pot
Any Banner 	#minecraft:banners 	Minecraft Any Banner
Black Banner 	black_banner 	Minecraft Black Banner
Red Banner 	red_banner 	Minecraft Red Banner
Green Banner 	green_banner 	Minecraft Green Banner
Brown Banner 	brown_banner 	Minecraft Brown Banner
Blue Banner 	blue_banner 	Minecraft Blue Banner
Purple Banner 	purple_banner 	Minecraft Purple Banner
Cyan Banner 	cyan_banner 	Minecraft Cyan Banner
Light Gray Banner 	light_gray_banner 	Minecraft Light Gray Banner
Gray Banner 	gray_banner 	Minecraft Gray Banner
Pink Banner 	pink_banner 	Minecraft Pink Banner
Lime Banner 	lime_banner 	Minecraft Lime Banner
Yellow Banner 	yellow_banner 	Minecraft Yellow Banner
Light Blue Banner 	light_blue_banner 	Minecraft Light Blue Banner
Magenta Banner 	magenta_banner 	Minecraft Magenta Banner
Orange Banner 	orange_banner 	Minecraft Orange Banner
White Banner 	white_banner 	Minecraft White Banner
Painting 	painting 	Minecraft Painting
Item Frame 	item_frame 	Minecraft Item Frame
Glow Item Frame 	glow_item_frame 	Minecraft Glow Item Frame
Oak Sign 	oak_sign 	Minecraft Oak Sign
Spruce Sign 	spruce_sign 	Minecraft Spruce Sign
Birch Sign 	birch_sign 	Minecraft Birch Sign
Jungle Sign 	jungle_sign 	Minecraft Jungle Sign
Acacia Sign 	acacia_sign 	Minecraft Acacia Sign
Dark Oak Sign 	dark_oak_sign 	Minecraft Dark Oak Sign
Crimson Sign 	crimson_sign 	Minecraft Crimson Sign
Warped Sign 	warped_sign 	Minecraft Warped Sign
Mangrove Sign 	mangrove_sign 	Minecraft Mangrove Sign
Oak Door 	oak_door 	Minecraft Oak Door
Spruce Door 	spruce_door 	Minecraft Spruce Door
Birch Door 	birch_door 	Minecraft Birch Door
Jungle Door 	jungle_door 	Minecraft Jungle Door
Acacia Door 	acacia_door 	Minecraft Acacia Door
Dark Oak Door 	dark_oak_door 	Minecraft Dark Oak Door
Iron Door 	iron_door 	Minecraft Iron Door
Crimson Door 	crimson_door 	Minecraft Crimson Door
Warped Door 	warped_door 	Minecraft Warped Door
Mangrove Door 	mangrove_door 	Minecraft Mangrove Door
Bucket 	bucket 	Minecraft Bucket
Water Bucket 	water_bucket 	Minecraft Water Bucket
Pufferfish Bucket 	pufferfish_bucket 	Minecraft Pufferfish Bucket
Salmon Bucket 	salmon_bucket 	Minecraft Salmon Bucket
Cod Bucket 	cod_bucket 	Minecraft Cod Bucket
Tropical Fish Bucket 	tropical_fish_bucket 	Minecraft Tropical Fish Bucket
Axolotl Bucket 	axolotl_bucket 	Minecraft Axolotl Bucket
Tadpole Bucket 	tadpole_bucket 	Minecraft Tadpole Bucket
Lava Bucket 	lava_bucket 	Minecraft Lava Bucket
Milk Bucket 	milk_bucket 	Minecraft Milk Bucket
Powder Snow Bucket 	powder_snow_bucket 	Minecraft Powder Snow Bucket
Minecart 	minecart 	Minecraft Minecart
Minecart with Chest 	chest_minecart 	Minecraft Minecart with Chest
Minecart with Furnace 	furnace_minecart 	Minecraft Minecart with Furnace
Minecart with Hopper 	hopper_minecart 	Minecraft Minecart with Hopper
Minecart with TNT 	tnt_minecart 	Minecraft Minecart with TNT
Minecart with Command Block 	command_block_minecart 	Minecraft Minecart with Command Block
Oak Boat 	oak_boat 	Minecraft Oak Boat
Spruce Boat 	spruce_boat 	Minecraft Spruce Boat
Birch Boat 	birch_boat 	Minecraft Birch Boat
Jungle Boat 	jungle_boat 	Minecraft Jungle Boat
Acacia Boat 	acacia_boat 	Minecraft Acacia Boat
Dark Oak Boat 	dark_oak_boat 	Minecraft Dark Oak Boat
Mangrove Boat 	mangrove_boat 	Minecraft Mangrove Boat
Oak Boat with Chest 	oak_chest_boat 	Minecraft Oak Boat with Chest
Spruce Boat with Chest 	spruce_chest_boat 	Minecraft Spruce Boat with Chest
Birch Boat with Chest 	birch_chest_boat 	Minecraft Birch Boat with Chest
Jungle Boat with Chest 	jungle_chest_boat 	Minecraft Jungle Boat with Chest
Acacia Boat with Chest 	acacia_chest_boat 	Minecraft Acacia Boat with Chest
Dark Oak Boat with Chest 	dark_oak_chest_boat 	Minecraft Dark Oak Boat with Chest
Mangrove Boat with Chest 	mangrove_chest_boat 	Minecraft Mangrove Boat with Chest
Redstone Repeater 	repeater 	Minecraft Redstone Repeater
Comparator 	comparator 	Minecraft Comparator
Apple 	apple 	Minecraft Apple
Any Golden Apple 	golden_apple 	Minecraft Any Golden Apple
Golden Apple 	golden_apple 	Minecraft Golden Apple
Enchanted Golden Apple 	enchanted_golden_apple 	Minecraft Enchanted Golden Apple
Stick 	stick 	Minecraft Stick
Debug Stick 	debug_stick 	Minecraft Debug Stick
Bowl 	bowl 	Minecraft Bowl
Mushroom Stew 	mushroom_stew 	Minecraft Mushroom Stew
Suspicious Stew 	suspicious_stew 	Minecraft Suspicious Stew
String 	string 	Minecraft String
Feather 	feather 	Minecraft Feather
Gunpowder 	gunpowder 	Minecraft Gunpowder
Wheat Seeds 	wheat_seeds 	Minecraft Wheat Seeds
Wheat 	wheat 	Minecraft Wheat
Carrot 	carrot 	Minecraft Carrot
Potato 	potato 	Minecraft Potato
Baked Potato 	baked_potato 	Minecraft Baked Potato
Poisonous Potato 	poisonous_potato 	Minecraft Poisonous Potato
Pumpkin Pie 	pumpkin_pie 	Minecraft Pumpkin Pie
Golden Carrot 	golden_carrot 	Minecraft Golden Carrot
Bread 	bread 	Minecraft Bread
Pumpkin Seeds 	pumpkin_seeds 	Minecraft Pumpkin Seeds
Flint 	flint 	Minecraft Flint
Leather 	leather 	Minecraft Leather
Saddle 	saddle 	Minecraft Saddle
Brick 	brick 	Minecraft Brick
Nether Brick 	nether_brick 	Minecraft Nether Brick
Clay 	clay_ball 	Minecraft Clay
Reeds 	sugar_cane 	Minecraft Reeds
Paper 	paper 	Minecraft Paper
Dried Kelp 	dried_kelp 	Minecraft Dried Kelp
Slimeball 	slime_ball 	Minecraft Slimeball
Egg 	egg 	Minecraft Egg
Glowstone Dust 	glowstone_dust 	Minecraft Glowstone Dust
Bone 	bone 	Minecraft Bone
Sugar 	sugar 	Minecraft Sugar
Cake 	cake 	Minecraft Cake
Any Candle Cake 	#minecraft:candle_cakes 	Minecraft Any Candle Cake
Candle Cake 	candle_cake 	Minecraft Candle Cake
White Candle Cake 	white_candle_cake 	Minecraft White Candle Cake
Orange Candle Cake 	orange_candle_cake 	Minecraft Orange Candle Cake
Magenta Candle Cake 	magenta_candle_cake 	Minecraft Magenta Candle Cake
Light Blue Candle Cake 	light_blue_candle_cake 	Minecraft Light Blue Candle Cake
Yellow Candle Cake 	yellow_candle_cake 	Minecraft Yellow Candle Cake
Lime Candle Cake 	lime_candle_cake 	Minecraft Lime Candle Cake
Pink Candle Cake 	pink_candle_cake 	Minecraft Pink Candle Cake
Gray Candle Cake 	gray_candle_cake 	Minecraft Gray Candle Cake
Light Gray Candle Cake 	light_gray_candle_cake 	Minecraft Light Gray Candle Cake
Cyan Candle Cake 	cyan_candle_cake 	Minecraft Cyan Candle Cake
Purple Candle Cake 	purple_candle_cake 	Minecraft Purple Candle Cake
Blue Candle Cake 	blue_candle_cake 	Minecraft Blue Candle Cake
Brown Candle Cake 	brown_candle_cake 	Minecraft Brown Candle Cake
Green Candle Cake 	green_candle_cake 	Minecraft Green Candle Cake
Red Candle Cake 	red_candle_cake 	Minecraft Red Candle Cake
Black Candle Cake 	black_candle_cake 	Minecraft Black Candle Cake
Bed 	white_bed 	Minecraft Bed
Cookie 	cookie 	Minecraft Cookie
Melon 	melon_slice 	Minecraft Melon
Melon Seeds 	melon_seeds 	Minecraft Melon Seeds
Sweet Berries 	sweet_berries 	Minecraft Sweet Berries
Glow Berries 	glow_berries 	Minecraft Glow Berries
Any Fish 	#minecraft:fishes 	Minecraft Any Fish
Raw Fish 	cod 	Minecraft Raw Fish
Raw Salmon 	salmon 	Minecraft Raw Salmon
Tropical Fish 	tropical_fish 	Minecraft Tropical Fish
Pufferfish 	pufferfish 	Minecraft Pufferfish
Any Cooked Fish 	#minecraft:fishes 	Minecraft Any Cooked Fish
Cooked Fish 	cooked_cod 	Minecraft Cooked Fish
Cooked Salmon 	cooked_salmon 	Minecraft Cooked Salmon
Porkchop 	porkchop 	Minecraft Porkchop
Cooked Porkchop 	cooked_porkchop 	Minecraft Cooked Porkchop
Beef 	beef 	Minecraft Beef
Cooked Beef 	cooked_beef 	Minecraft Cooked Beef
Chicken 	chicken 	Minecraft Chicken
Cooked Chicken 	cooked_chicken 	Minecraft Cooked Chicken
Rabbit 	rabbit 	Minecraft Rabbit
Cooked Rabbit 	cooked_rabbit 	Minecraft Cooked Rabbit
Rabbit Foot 	rabbit_foot 	Minecraft Rabbit Foot
Rabbit Hide 	rabbit_hide 	Minecraft Rabbit Hide
Rabbit Stew 	rabbit_stew 	Minecraft Rabbit Stew
Mutton 	mutton 	Minecraft Mutton
Cooked Mutton 	cooked_mutton 	Minecraft Cooked Mutton
Rotten Flesh 	rotten_flesh 	Minecraft Rotten Flesh
Ender Pearl 	ender_pearl 	Minecraft Ender Pearl
Eye of Ender 	ender_eye 	Minecraft Eye of Ender
End Crystal 	end_crystal 	Minecraft End Crystal
Shulker Shell 	shulker_shell 	Minecraft Shulker Shell
Chorus Fruit 	chorus_fruit 	Minecraft Chorus Fruit
Popped Chorus Fruit 	popped_chorus_fruit 	Minecraft Popped Chorus Fruit
Beetroot 	beetroot 	Minecraft Beetroot
Beetroot Seeds 	beetroot_seeds 	Minecraft Beetroot Seeds
Beetroot Soup 	beetroot_soup 	Minecraft Beetroot Soup
Ghast Tear 	ghast_tear 	Minecraft Ghast Tear
Nether Wart 	nether_wart 	Minecraft Nether Wart
Glass Bottle 	glass_bottle 	Minecraft Glass Bottle
Water Bottle/Any Potion 	potion 	Minecraft Water Bottle/Any Potion
Splash Potion 	splash_potion 	Minecraft Splash Potion
Lingering Potion 	lingering_potion 	Minecraft Lingering Potion
Dragon's Breath 	dragon_breath 	Minecraft Dragon
Spider Eye 	spider_eye 	Minecraft Spider Eye
Fermented Spider Eye 	fermented_spider_eye 	Minecraft Fermented Spider Eye
Blaze Rod 	blaze_rod 	Minecraft Blaze Rod
Blaze Powder 	blaze_powder 	Minecraft Blaze Powder
Magma Cream 	magma_cream 	Minecraft Magma Cream
Brewing Stand 	brewing_stand 	Minecraft Brewing Stand
Cauldron 	cauldron 	Minecraft Cauldron
Speckled Melon 	glistering_melon_slice 	Minecraft Speckled Melon
